coreId,group,meanPFuse,meanUncFuse,fracLikelyCancer,fracLikelyHealthy,fracUncertain,coreDecision,meanPBaseline,meanPPrototype,nPixBase,nPixProto,truthGroup,subset,trueLabel,useForValidation,meanPEqualWeight,meanPLockedAlphaNoGate
L10,Tumor,0.904989577723639,0.182020452537834,0.912958037238477,0.00555798165866053,0.0814839811028624,cancer-like,0.92564381444127,0.734714268351352,50378,50378,Tumor,Reference,cancer,1,0.830179041396311,0.906550859832278
L13,Tumor,0.966324237860959,0.11864139339602,0.996124986789728,1.76136964103287e-05,0.00385739951386198,cancer-like,0.989493754430926,0.748689331863772,56774,56774,Tumor,Reference,cancer,1,0.869091543147349,0.965413312174211
L14,Tumor,0.873959913412362,0.241537812530351,0.832877565855516,0.0069230502959604,0.160199383848524,cancer-like,0.891974828331698,0.650457170608649,57778,57778,Tumor,Reference,cancer,1,0.771215999470174,0.867823062559394
L15,Tumor,0.955464381580674,0.130529834366857,0.985882000798191,0.000515498204070773,0.0136025009977385,cancer-like,0.979166142441322,0.747746578546721,60136,60136,Tumor,Reference,cancer,1,0.863456360494022,0.956024186051862
E14,Tumor,0.963911367916029,0.126765845106887,0.997291224828339,0.000440963400037797,0.00226781177162296,cancer-like,0.990912459915355,0.732861256470543,47623,47623,Tumor,Reference,cancer,1,0.861886858192949,0.965107339570874
E15,Tumor,0.896421739022567,0.217831275659859,0.889892811044391,9.35331200778196e-05,0.110013655835531,cancer-like,0.919907657307563,0.692508108202388,53457,53457,Tumor,Reference,cancer,1,0.806207882754975,0.897167702397046
E16,Tumor,0.955208659931847,0.143514216826266,0.990541582007987,5.25467666222938e-05,0.0094058712253906,cancer-like,0.982077164007519,0.717942877032283,57092,57092,Tumor,Reference,cancer,1,0.850010020519901,0.955663735309995
M1,NAT,0.741144492341328,0.348681490171126,0.592088812244018,0.0702306531580082,0.337680534597974,uncertain,0.766981501582384,0.576244203243947,46390,46390,NAT,NaT,,0,0.671612852413165,0.747907771748541
M10,NAT,0.396126661331137,0.331930123987759,0.196688754368209,0.508373594057326,0.294937651574465,healthy-like,0.393058078596031,0.343419932891194,52367,52367,NAT,NaT,,0,0.368239005743613,0.388094264025547
M11,NAT,0.325305297442429,0.347892116831267,0.121200996966594,0.58274243097552,0.296056572057886,healthy-like,0.328330225550219,0.390401883712313,51757,51757,NAT,NaT,,0,0.359366054631266,0.334537391366428
M12,NAT,0.54475934596698,0.271786710010243,0.431112684470208,0.348474456269221,0.22041285926057,uncertain,0.544631760307568,0.552955506757766,45197,45197,NAT,NaT,,0,0.548793633532667,0.545464134952588
M14,CleanHealthy,0.0638989512293329,0.146927784894194,0.00565792660106114,0.96682297514475,0.0275190982541884,healthy-like,0.0417391310267634,0.255995167174279,45423,45423,CleanHealthy,Reference,healthy,1,0.148867149100521,0.063164734641515
M15,CleanHealthy,0.0743269364964782,0.16970316709483,0.000590206051347926,0.972242956585137,0.0271668373635148,healthy-like,0.0520989372285706,0.277378775992071,57607,57607,CleanHealthy,Reference,healthy,1,0.164738856610321,0.0746269211049207
M16,CleanHealthy,0.327961209147143,0.379466389787876,0.0957575050552185,0.522806812879141,0.38143568206564,healthy-like,0.314979880311279,0.397054848791396,51432,51432,CleanHealthy,Reference,healthy,1,0.356017364551338,0.323187377159291
M2,NAT,0.224673425031033,0.28350433836632,0.0493251772016701,0.703466355956889,0.247208466841441,healthy-like,0.224449970574927,0.275292596519663,20598,20598,NAT,NaT,,0,0.249871283547295,0.229534233169401
M3,NAT,0.741143633375714,0.341085469249935,0.613613345817966,0.0718885555406929,0.314498098641341,uncertain,0.762497299726306,0.580051544421623,52331,52331,NAT,NaT,,0,0.671274422073965,0.744252724195838
M4,NAT,0.857668231603606,0.251577521759606,0.81624617935036,0.0292700616484484,0.154483759001192,cancer-like,0.885026805165634,0.596639519357513,57909,57909,NAT,NaT,,0,0.740833162261573,0.856188076584822
M6,NAT,0.69976219598066,0.400759921015134,0.491577389343107,0.0883669297998308,0.420055680857062,uncertain,0.724333918414341,0.468042692082443,56752,56752,NAT,NaT,,0,0.596188305248392,0.698704795781151
M7,NAT,0.587424544232137,0.43417916465471,0.341784018423037,0.218264077115898,0.439951904461065,uncertain,0.615208328183319,0.319872819313005,49069,49069,NAT,NaT,,0,0.467540573748162,0.585674777296288
M8,NAT,0.627305647194836,0.346369125482855,0.470898369753729,0.258966354491849,0.270135275754422,uncertain,0.652227569477726,0.416085899842705,57660,57660,NAT,NaT,,0,0.534156734660216,0.628613402514224
M9,NAT,0.667969218436452,0.362952951279091,0.478794602262394,0.155385007092715,0.365820390644891,uncertain,0.682553666608838,0.501131812452051,54986,54986,NAT,NaT,,0,0.591842739530444,0.664411481193159
