cancerCoreThr,healthyCoreThr,refCoverage,refSelectiveAccuracy,refConservativeAccuracy,fracAllCancerLike,fracAllHealthyLike,fracAllUncertain,fracNaTCancerLike,fracNaTHealthyLike,fracNaTUncertain,matchLockedDecisionFrac
0.5,0.3,1,1,1,0.476190476190476,0.333333333333333,0.19047619047619,0.272727272727273,0.363636363636364,0.363636363636364,0.857142857142857
0.5,0.35,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.5,0.4,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.5,0.45,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.5,0.5,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.55,0.3,1,1,1,0.476190476190476,0.333333333333333,0.19047619047619,0.272727272727273,0.363636363636364,0.363636363636364,0.857142857142857
0.55,0.35,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.55,0.4,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.55,0.45,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.55,0.5,1,1,1,0.476190476190476,0.285714285714286,0.238095238095238,0.272727272727273,0.272727272727273,0.454545454545455,0.904761904761905
0.6,0.3,1,1,1,0.428571428571429,0.333333333333333,0.238095238095238,0.181818181818182,0.363636363636364,0.454545454545455,0.904761904761905
0.6,0.35,1,1,1,0.428571428571429,0.285714285714286,0.285714285714286,0.181818181818182,0.272727272727273,0.545454545454545,0.952380952380952
0.6,0.4,1,1,1,0.428571428571429,0.285714285714286,0.285714285714286,0.181818181818182,0.272727272727273,0.545454545454545,0.952380952380952
0.6,0.45,1,1,1,0.428571428571429,0.285714285714286,0.285714285714286,0.181818181818182,0.272727272727273,0.545454545454545,0.952380952380952
0.6,0.5,1,1,1,0.428571428571429,0.285714285714286,0.285714285714286,0.181818181818182,0.272727272727273,0.545454545454545,0.952380952380952
0.65,0.3,1,1,1,0.380952380952381,0.333333333333333,0.285714285714286,0.0909090909090909,0.363636363636364,0.545454545454545,0.952380952380952
0.65,0.35,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.65,0.4,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.65,0.45,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.65,0.5,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.7,0.3,1,1,1,0.380952380952381,0.333333333333333,0.285714285714286,0.0909090909090909,0.363636363636364,0.545454545454545,0.952380952380952
0.7,0.35,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.7,0.4,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.7,0.45,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
0.7,0.5,1,1,1,0.380952380952381,0.285714285714286,0.333333333333333,0.0909090909090909,0.272727272727273,0.636363636363636,1
